run_uuid,key,step,value,timestamp
a27a9395759041689d2a58d7b8ce9c90,train/wall,1739,95.0,1771027264285
a27a9395759041689d2a58d7b8ce9c90,train/wall,1740,101.0,1771027270208
a27a9395759041689d2a58d7b8ce9c90,train/wall,1741,107.0,1771027276492
a27a9395759041689d2a58d7b8ce9c90,train/wall,1742,113.0,1771027282680
a27a9395759041689d2a58d7b8ce9c90,train/wall,1743,120.0,1771027288773
a27a9395759041689d2a58d7b8ce9c90,train/wall,1744,126.0,1771027294805
a27a9395759041689d2a58d7b8ce9c90,train/wall,1745,132.0,1771027300988
a27a9395759041689d2a58d7b8ce9c90,train/wall,1746,138.0,1771027307215
a27a9395759041689d2a58d7b8ce9c90,train/wall,1747,144.0,1771027313374
a27a9395759041689d2a58d7b8ce9c90,train/wall,1748,150.0,1771027319330
a27a9395759041689d2a58d7b8ce9c90,train/wall,1749,156.0,1771027325444
a27a9395759041689d2a58d7b8ce9c90,train/wall,1750,162.0,1771027331543
a27a9395759041689d2a58d7b8ce9c90,train/wall,1751,168.0,1771027337556
a27a9395759041689d2a58d7b8ce9c90,train/wall,1752,174.0,1771027343586
a27a9395759041689d2a58d7b8ce9c90,train/wall,1753,180.0,1771027349293
a27a9395759041689d2a58d7b8ce9c90,train/wall,1754,186.0,1771027355387
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1726,262.0,1771027182409
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1727,262.0,1771027188415
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1728,262.0,1771027194390
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1729,262.0,1771027200226
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1730,262.0,1771027206214
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1731,262.0,1771027212276
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1732,262.0,1771027218491
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1733,262.0,1771027224841
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1734,262.0,1771027232958
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1735,262.0,1771027239829
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1736,262.0,1771027245867
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1737,262.0,1771027251824
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1738,262.0,1771027257832
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1739,262.0,1771027264285
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1740,262.0,1771027270208
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1741,262.0,1771027276492
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1742,262.0,1771027282680
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1743,262.0,1771027288773
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1744,262.0,1771027294805
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1745,262.0,1771027300988
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1746,262.0,1771027307215
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1747,262.0,1771027313374
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1748,262.0,1771027319330
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1749,262.0,1771027325444
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1750,262.0,1771027331543
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1751,262.0,1771027337556
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1752,262.0,1771027343586
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1753,262.0,1771027349293
a27a9395759041689d2a58d7b8ce9c90,train/wpb,1754,262.0,1771027355387
a27a9395759041689d2a58d7b8ce9c90,train/wps,1726,0.0,1771027182409
a27a9395759041689d2a58d7b8ce9c90,train/wps,1727,43.8,1771027188415
a27a9395759041689d2a58d7b8ce9c90,train/wps,1728,44.0,1771027194390
a27a9395759041689d2a58d7b8ce9c90,train/wps,1729,45.0,1771027200226
a27a9395759041689d2a58d7b8ce9c90,train/wps,1730,43.9,1771027206214
a27a9395759041689d2a58d7b8ce9c90,train/wps,1731,43.4,1771027212276
a27a9395759041689d2a58d7b8ce9c90,train/wps,1732,42.3,1771027218491
a27a9395759041689d2a58d7b8ce9c90,train/wps,1733,41.4,1771027224841
a27a9395759041689d2a58d7b8ce9c90,train/wps,1734,32.4,1771027232958
a27a9395759041689d2a58d7b8ce9c90,train/wps,1735,38.3,1771027239829
a27a9395759041689d2a58d7b8ce9c90,train/wps,1736,43.5,1771027245867
a27a9395759041689d2a58d7b8ce9c90,train/wps,1737,44.1,1771027251824
a27a9395759041689d2a58d7b8ce9c90,train/wps,1738,43.8,1771027257832
a27a9395759041689d2a58d7b8ce9c90,train/wps,1739,40.7,1771027264285
a27a9395759041689d2a58d7b8ce9c90,train/wps,1740,44.4,1771027270208
a27a9395759041689d2a58d7b8ce9c90,train/wps,1741,41.8,1771027276492
